Ward,Precinct,RAHM EMANUEL,WILLIE WILSON,ROBERT W. FIORETTI,"JESUS ""CHUY"" GARCIA",WILLIAM WALLS III,Votes Cast
5.0,11.0,131.0,21.0,12.0,157.0,6.0,327.0
5.0,12.0,73.0,50.0,9.0,60.0,8.0,200.0
5.0,13.0,107.0,48.0,1.0,78.0,18.0,252.0
5.0,14.0,137.0,47.0,15.0,86.0,26.0,311.0
5.0,15.0,126.0,36.0,7.0,78.0,14.0,261.0
5.0,16.0,124.0,54.0,14.0,52.0,20.0,264.0
5.0,17.0,108.0,51.0,5.0,48.0,15.0,227.0
5.0,18.0,105.0,25.0,15.0,95.0,18.0,258.0
5.0,19.0,103.0,22.0,16.0,162.0,4.0,307.0
5.0,20.0,153.0,29.0,19.0,122.0,12.0,335.0
5.0,21.0,93.0,22.0,17.0,120.0,8.0,260.0
5.0,22.0,211.0,23.0,12.0,101.0,8.0,355.0
5.0,23.0,190.0,25.0,28.0,186.0,11.0,440.0
5.0,24.0,90.0,32.0,17.0,133.0,11.0,283.0
5.0,25.0,124.0,50.0,13.0,86.0,14.0,287.0
5.0,26.0,117.0,46.0,11.0,66.0,15.0,255.0
5.0,27.0,96.0,3.0,9.0,124.0,1.0,233.0
5.0,28.0,139.0,58.0,19.0,95.0,21.0,332.0
5.0,29.0,132.0,56.0,18.0,108.0,22.0,336.0
5.0,30.0,72.0,46.0,11.0,48.0,12.0,189.0
5.0,31.0,95.0,52.0,15.0,52.0,13.0,227.0
5.0,32.0,153.0,45.0,24.0,104.0,22.0,348.0
5.0,33.0,138.0,62.0,13.0,73.0,33.0,319.0
5.0,34.0,177.0,5.0,8.0,140.0,2.0,332.0
5.0,35.0,126.0,19.0,17.0,137.0,10.0,309.0
5.0,36.0,97.0,56.0,8.0,31.0,20.0,212.0
5.0,37.0,187.0,20.0,20.0,122.0,11.0,360.0
5.0,38.0,121.0,54.0,9.0,42.0,20.0,246.0
5.0,39.0,137.0,8.0,10.0,104.0,7.0,266.0
5.0,40.0,101.0,48.0,16.0,61.0,22.0,248.0
5.0,41.0,114.0,14.0,9.0,61.0,5.0,203.0
6.0,1.0,134.0,54.0,22.0,84.0,24.0,318.0
6.0,2.0,130.0,66.0,27.0,50.0,15.0,288.0
6.0,3.0,151.0,62.0,11.0,49.0,26.0,299.0
6.0,4.0,83.0,49.0,2.0,40.0,14.0,188.0
6.0,5.0,67.0,51.0,6.0,43.0,8.0,175.0
6.0,6.0,117.0,48.0,18.0,71.0,15.0,269.0
6.0,7.0,97.0,61.0,3.0,58.0,19.0,238.0
6.0,8.0,128.0,46.0,20.0,74.0,15.0,283.0
6.0,9.0,85.0,42.0,7.0,70.0,16.0,220.0
6.0,10.0,73.0,33.0,9.0,21.0,7.0,143.0
6.0,11.0,90.0,63.0,8.0,52.0,15.0,228.0
